Nombre,Teléfono,Email,Sitio Web,Ciudad,Fuente,URL
Administración de Conjuntos Residenciales Laureles,+57313 555 7890,laureles@admin.com.co,https://laureles-admin.com.co,Medellín,Demo,Demo
Administración de Edificios Envigado,+57315 111 4444,envigado@adminedificios.com,https://envigado-edificios.com.co,Medellín,Demo,Demo
Administradores de Edificios Oriente,+57312 987 6543,admin@oriente.com.co,https://edificiosoriente.com.co,Medellín,Demo,Demo
Administradores de Propiedad Horizontal de Medellín S.A.S.,+574 444 5555,info@aphmedellin.com,https://aphmedellin.com.co,Medellín,Demo,Demo
Administradores de Torres del Poblado,+574 333 4444,poblado@adminmed.com,https://torrespoblado.com.co,Medellín,Demo,Demo
Edificios & Negocios Medellín,+57311 999 8888,contacto@edificiosmedellin.com,https://edificiosmedellin.com.co,Medellín,Demo,Demo
Gestión Inmobiliaria Medellín S.A.S.,+57310 123 4567,contacto@gestionmedellin.com,https://gestionmedellin.com.co,Medellín,Demo,Demo
Gestión Vertical Medellín,+57314 222 3333,info@gestionvertical.com,https://gestionvertical.com.co,Medellín,Demo,Demo
Propiedad Horizontal Sabaneta,+57316 555 6666,sabaneta@phsabaneta.com,https://phsabaneta.com.co,Medellín,Demo,Demo
Red de Administradores de PH de Antioquia,+574 604 4400,info@redpropiedadhorizontal.com,https://redpropiedadhorizontal.com,Medellín,redpropiedadhorizontal.com,https://redpropiedadhorizontal.com/red-administradores-propiedad-horizontal/
Servicios de Administración PH Antioquia,+574 555 1234,info@phantioquia.com.co,https://phantioquia.com.co,Medellín,Demo,Demo
